Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
252,Bobby Seay*\seaybo01,28,DET,15.1,14,0,11,6.46,5.24,0.23,-0.39,98.8,4.56,-3,-0.3,.26,0.1,-0.1,-1,.477,.498,$375000,Free Agency
253,Jae Weong Seo\seoja01,29,TBD,90.0,17,16,56,5.60,5.19,-0.26,0.19,98.1,5.52,-2,-0.2,1.57,-0.1,0.7,9,.491,.499,,Traded
254,George Sherrill*\sherrge01,29,SEA,40.0,72,0,19,4.28,5.60,0.25,-0.42,96.8,4.78,2,0.2,1.44,-0.1,0.6,7,.503,.501,$333000,Purchased
255,James Shields\shielja02,24,TBD,124.2,21,21,69,4.98,5.06,-0.22,0.19,98.8,5.41,5,0.5,,-0.1,1.7,20,.522,.503,,Amateur Draft
256,Scot Shields\shielsc01,30,LAA,87.2,74,0,30,3.08,5.06,0.00,-0.38,99.0,4.64,14,1.4,1.65,0.2,2.6,25,.519,.509,$2100000,Amateur Draft
257,Brian Shouse*\shousbr01,37,TEX,4.1,6,0,2,4.15,5.38,0.06,-0.40,100.2,4.92,0,0.0,.86,0.0,0.1,1,.505,.500,$725000,Free Agency
258,Brian Sikorski\sikorbr01,31,CLE,19.2,17,0,10,4.58,4.94,-0.15,-0.37,98.6,4.66,0,0.0,.99,-0.1,0.2,2,.500,.500,,Traded
259,Carlos Silva\silvaca01,27,MIN,180.1,36,31,130,6.49,5.07,0.09,0.17,98.3,5.06,-30,-2.8,.77,-0.1,-1.0,-8,.423,.483,$3200000,Traded
260,Andy Sisco*\siscoan01,23,KCR,58.1,65,0,47,7.25,5.24,0.17,-0.39,103.3,4.84,-16,-1.6,1.17,-0.3,-1.2,-9,.476,.490,$346500,Rule 5 Draft
261,Brian Slocum\slocubr01,25,CLE,17.2,8,2,11,5.60,4.81,-0.20,-0.05,100.8,5.00,-1,-0.1,.15,0.0,0.1,1,.484,.499,,Amateur Draft
262,Aaron Small\smallaa01,34,NYY,27.2,11,3,29,9.43,5.11,-0.43,-0.04,98.5,5.42,-13,-1.1,.48,0.1,-0.8,-9,.398,.493,$1200000,Free Agency
263,Matt Smith*\smithma04,27,NYY,12.0,12,0,0,0.00,5.29,-0.26,-0.39,97.4,5.02,7,0.7,.30,-0.3,0.5,8,.556,.504,,Amateur Draft
264,Mike Smith\smithmi06,28,MIN,3.0,1,1,4,12.00,4.61,0.11,0.18,106.0,4.97,-2,-0.2,,0.0,-0.2,-2,.309,.499,,Free Agency
265,Kyle Snyder\snydeky01,28,2TM,60.1,17,11,51,7.61,5.19,-0.16,0.09,102.0,5.55,-14,-1.0,.65,0.0,-0.4,-7,.440,.496,,Waivers
266,Rafael Soriano\soriara01,26,SEA,60.0,53,0,15,2.25,5.03,0.24,-0.37,95.9,4.23,13,1.3,1.44,0.1,2.0,20,.524,.508,$450000,Amateur Free Agent
267,Jeremy Sowers*\sowerje01,23,CLE,88.1,14,14,36,3.67,4.95,-0.19,0.19,97.3,5.19,14,1.5,,-0.1,2.3,25,.605,.509,,Amateur Draft
268,Justin Speier\speieju01,32,TOR,51.1,58,0,18,3.16,5.03,0.33,-0.37,99.6,4.31,6,0.6,1.66,0.1,1.2,12,.510,.504,$2250000,Traded
269,Chris Spurling\spurlch01,29,DET,11.1,9,0,4,3.18,5.26,0.28,-0.39,98.9,4.54,2,0.2,.38,-0.1,0.2,3,.518,.501,$725000,Traded
270,Steve Stemle\stemlst01,29,KCR,6.0,5,0,10,15.00,5.07,0.29,-0.38,101.3,4.47,-7,-0.6,.47,0.1,-0.4,-6,.377,.496,$330000,Free Agency
271,Brian Stokes\stokebr01,26,TBD,24.0,5,4,13,4.88,5.45,-0.24,0.14,98.8,5.76,2,0.2,.57,0.0,0.4,5,.543,.501,,Amateur Free Agent
272,Huston Street\streehu01,22,OAK,70.2,69,0,28,3.57,5.00,0.01,-0.37,96.1,4.44,6,0.6,1.85,0.1,1.4,15,.509,.504,$339625,Amateur Draft
273,Tanyon Sturtze\sturtta01,35,NYY,10.2,18,0,10,8.44,5.43,-0.43,-0.40,98.2,5.36,-4,-0.4,1.09,0.0,-0.3,-2,.480,.498,$1500000,Traded
274,Jon Switzer*\switzjo01,26,TBD,33.2,40,0,19,5.08,5.34,-0.24,-0.40,98.8,5.12,0,0.0,.99,-0.1,0.3,4,.500,.500,,Amateur Draft
275,Brian Tallet*\tallebr01,28,TOR,54.1,44,1,24,3.98,5.20,0.34,-0.36,99.3,4.46,2,0.2,.92,-0.1,0.7,9,.505,.501,$327000,Traded
276,Jordan Tata\tatajo01,24,DET,14.2,8,0,11,6.75,5.26,0.27,-0.39,98.7,4.54,-4,-0.4,.27,0.1,-0.1,-2,.456,.498,$327000,Amateur Draft
277,Ty Taubenheim\taubety01,23,TOR,35.0,12,7,22,5.66,4.97,0.40,0.12,102.0,4.78,-4,-0.4,.74,0.0,0.0,1,.470,.498,,Traded
278,Julian Tavarez\tavarju01,33,BOS,98.2,58,6,54,4.93,5.12,-0.19,-0.18,103.9,5.32,3,0.3,.86,-0.2,1.2,16,.506,.502,$3350000,Free Agency
279,Rob Tejeda\tejedro01,24,TEX,73.2,14,14,40,4.89,4.77,0.06,0.18,99.9,4.88,-1,-0.1,,0.0,0.7,8,.495,.500,,Traded
280,Matt Thornton*\thornma01,29,CHW,54.0,63,0,20,3.33,5.06,-0.20,-0.38,104.2,5.08,10,1.0,1.54,0.1,1.7,17,.516,.506,$355000,Traded
281,Mike Timlin\timlimi01,40,BOS,64.0,68,0,33,4.64,5.08,-0.20,-0.38,103.3,5.07,2,0.2,1.78,-0.1,0.9,10,.504,.501,$3023894,Free Agency
282,Josh Towers\towerjo01,29,TOR,62.0,15,12,62,9.00,4.97,0.46,0.12,103.0,4.77,-30,-2.5,.97,0.0,-1.9,-22,.335,.485,$2300000,Free Agency
283,Sean Tracey\tracese01,25,CHW,8.0,7,0,3,3.38,5.33,-0.21,-0.40,106.8,5.50,2,0.2,.15,-0.1,0.2,3,.526,.501,,Amateur Draft
284,Jermaine Van Buren\vanbuje01,25,BOS,13.0,10,0,17,11.77,5.33,-0.18,-0.40,100.9,5.16,-10,-0.9,.78,0.1,-0.7,-8,.413,.495,,Purchased
285,Javier Vazquez\vazquja01,29,CHW,202.2,33,32,116,5.15,5.01,-0.21,0.19,103.6,5.60,8,0.8,.53,-0.1,2.8,33,.524,.505,$12000000,Traded
286,Jose Veras\verasjo01,25,NYY,11.0,12,0,5,4.09,5.06,-0.31,-0.38,99.0,4.95,1,0.1,.91,0.0,0.2,2,.508,.501,,Free Agency
287,Justin Verlander\verlaju01,23,DET,186.0,30,30,78,3.77,4.98,0.24,0.19,99.7,4.92,22,2.2,,-0.1,4.0,45,.575,.514,$980000,Amateur Draft
288,Ron Villone*\villoro01,36,NYY,80.1,70,0,48,5.38,5.02,-0.32,-0.37,99.1,4.92,-5,-0.5,.82,-0.2,0.2,5,.493,.497,$2250000,Traded
289,Edinson Volquez\volqued01,22,TEX,33.1,8,8,28,7.56,4.92,0.07,0.19,100.0,5.04,-10,-0.9,,0.0,-0.5,-6,.393,.495,,Amateur Free Agent
290,Doug Waechter\waechdo01,25,TBD,53.0,11,10,40,6.79,5.06,-0.26,0.17,100.5,5.52,-8,-0.7,.09,0.0,-0.2,-1,.433,.495,$355900,Amateur Draft
291,Tim Wakefield\wakefti01,39,BOS,140.0,23,23,80,5.14,5.06,-0.18,0.19,103.1,5.61,6,0.6,,-0.1,2.0,23,.526,.504,$4000000,Free Agency
292,Jamie Walker*\walkeja01,34,DET,48.0,56,0,15,2.81,5.23,0.24,-0.39,98.8,4.55,9,0.9,1.01,-0.1,1.3,15,.516,.505,$1250000,Free Agency
293,Pete Walker\walkepe01,37,TOR,30.0,23,0,24,7.20,4.91,0.38,-0.36,102.6,4.27,-10,-0.9,.67,0.1,-0.6,-6,.459,.494,$650000,Free Agency
294,Tyler Walker\walkety01,30,TBD,20.0,20,0,11,4.95,5.14,-0.21,-0.38,99.1,4.92,0,0.0,2.22,-0.1,0.1,2,.499,.500,,Traded
295,Chien-Ming Wang\wangch01,26,NYY,218.0,34,33,92,3.80,4.93,-0.38,0.19,99.0,5.43,38,3.9,2.77,-0.1,6.1,64,.616,.524,$353175,Amateur Free Agent
296,John Wasdin\wasdijo01,33,TEX,30.0,9,5,19,5.70,4.94,0.06,0.09,103.5,5.14,-2,-0.2,.15,0.0,0.1,2,.477,.499,,Free Agency
297,Jarrod Washburn*\washbja01,31,SEA,187.0,31,31,103,4.96,5.06,0.33,0.19,96.7,4.77,-6,-0.6,,-0.1,1.3,17,.482,.497,$7450000,Free Agency
298,Jeff Weaver\weaveje01,29,LAA,88.2,16,16,68,6.90,4.97,0.00,0.19,98.2,5.07,-19,-1.7,,-0.1,-0.8,-8,.395,.490,$8325000,Free Agency
299,Jered Weaver\weaveje02,23,LAA,123.0,19,19,36,2.63,5.02,0.00,0.19,98.2,5.12,33,3.5,,-0.1,4.7,48,.687,.522,,Amateur Draft
300,Todd Wellemeyer\welleto01,27,KCR,57.0,28,0,25,3.95,5.18,0.16,-0.27,103.5,4.92,6,0.6,1.15,-0.1,1.1,13,.520,.503,,Waivers
301,David Wells*\wellsda01,43,BOS,47.0,8,8,30,5.74,5.01,-0.21,0.19,105.0,5.68,-1,-0.1,,0.0,0.4,5,.490,.500,$4075000,Free Agency
302,Kip Wells\wellski01,29,TEX,8.0,2,2,6,6.75,4.94,0.07,0.19,98.9,5.00,-2,-0.1,,0.0,-0.1,-1,.425,.499,,Traded
303,Jake Westbrook\westbja01,28,CLE,211.1,32,32,106,4.51,4.94,-0.19,0.19,98.5,5.24,15,1.5,,-0.1,3.6,41,.547,.509,$4250000,Traded
304,Bob Wickman\wickmbo01,37,CLE,28.0,29,0,15,4.82,4.96,-0.19,-0.37,99.2,4.75,0,0.0,1.48,-0.1,0.2,3,.498,.500,$5000000,Free Agency
305,Todd Williams\willito02,35,BAL,57.0,62,0,36,5.68,5.08,-0.06,-0.38,98.8,4.70,-7,-0.7,1.41,-0.3,-0.3,0,.489,.496,$775000,Free Agency
306,C.J. Wilson*\wilsocj01,25,TEX,44.1,44,0,23,4.67,5.06,0.05,-0.38,100.5,4.66,0,0.0,1.00,-0.1,0.3,5,.499,.500,$331000,Amateur Draft
307,Kris Wilson\wilsokr01,29,NYY,8.1,5,1,8,8.64,4.92,-0.41,-0.19,99.2,5.10,-3,-0.3,.79,0.0,-0.2,-2,.438,.498,,Free Agency
308,Jason Windsor\windsja01,23,OAK,13.2,4,3,12,7.90,4.88,0.02,0.15,95.4,4.77,-5,-0.4,.03,0.0,-0.3,-3,.392,.497,,Amateur Draft
309,Jay Witasick\witasja01,33,OAK,22.2,20,0,17,6.75,5.08,0.01,-0.38,97.0,4.55,-6,-0.6,.38,0.1,-0.2,-3,.473,.497,$1000000,Traded
310,Mike Wood\woodmi01,26,KCR,64.2,23,7,51,7.10,4.94,0.20,-0.04,102.3,4.81,-17,-1.6,.77,0.0,-0.9,-9,.432,.490,$350000,Traded
311,Jake Woods*\woodsja01,24,SEA,105.0,37,8,51,4.37,5.03,0.32,-0.10,97.0,4.48,0,0.0,.73,-0.2,1.0,13,.501,.500,$332000,Waivers
312,Jaret Wright\wrighja02,30,NYY,140.1,30,27,76,4.87,4.96,-0.36,0.17,98.7,5.42,7,0.7,1.32,-0.1,2.1,24,.524,.504,$7666667,Free Agency
313,Esteban Yan\yanes01,31,LAA,22.1,13,0,18,7.25,5.21,0.00,-0.29,99.2,4.88,-6,-0.6,.57,0.1,-0.3,-3,.456,.496,$1250000,Free Agency
314,Barry Zito*\zitoba01,28,OAK,221.0,34,34,99,4.03,5.01,0.01,0.19,97.2,5.04,23,2.3,,-0.1,4.5,50,.568,.514,$7900000,Amateur Draft
315,Joel Zumaya\zumayjo01,21,DET,83.1,62,0,20,2.16,4.96,0.19,-0.37,99.1,4.36,20,1.9,1.58,0.3,3.2,30,.531,.512,$327000,Amateur Draft
