Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
435,Justin Miller\milleju01,30,FLA,42,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$750000,Free Agency,1
436,Pat Misch\mischpa01,26,SFG,15,14,-2,0,0,0,2,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,,Amateur Draft,1
437,Garrett Mock#\mockga01,25,WSN,26,6,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
438,Brian Moehler\moehlbr01,36,HOU,30,50,-11,0,0,0,7,-3,-0.3,0,-3,-0.3,.489,.498,-0.3,0.0,-3,$500000,Free Agency,1
439,Bengie Molina\molinbe01,33,SFG,145,569,-2,-3,-4,3,8,4,0.2,18,22,1.9,.503,.502,1.7,1.1,19,$6250000,Free Agency,*2/D
440,Gustavo Molina\molingu01,26,NYM,2,8,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.459,.499,-0.1,0.0,-1,,Free Agency,/2
441,Yadier Molina\molinya01,25,STL,124,485,-3,-4,-3,3,7,0,-0.1,15,16,1.3,.500,.500,1.1,1.0,13,$1812500,Amateur Draft,*2/3D
442,Miguel Montero*\montemi01,24,ARI,70,207,-3,-1,0,-9,3,-9,-1.0,6,-3,-0.4,.487,.494,0.5,-0.6,6,$400500,Amateur Free Agent,2
443,Luke Montz\montzlu01,24,WSN,10,26,-1,0,0,0,0,-1,-0.1,1,0,0.0,.493,.500,0.0,0.0,0,,Amateur Draft,/2
444,Franklin Morales*\moralfr01,22,COL,5,11,-2,0,0,0,2,-1,-0.1,0,-1,-0.1,.479,.499,-0.1,0.0,-1,$391000,Amateur Free Agent,/1
445,Nyjer Morgan*\morgany01,27,PIT,58,175,0,1,1,3,-1,4,0.3,5,9,0.8,.506,.502,0.6,0.2,6,$391000,Amateur Draft,78/9
446,Juan Morillo\morilju01,24,COL,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Free Agent,/1
447,Matt Morris\morrima01,33,PIT,5,7,0,0,0,0,1,1,0.1,0,1,0.1,.518,.501,0.1,0.0,1,$10037283,Traded,/1
448,Charlie Morton\mortoch02,24,ATL,14,20,-4,-1,0,0,3,-3,-0.3,0,-3,-0.3,.481,.498,-0.3,0.0,-3,,Amateur Draft,1
449,Colt Morton\mortoco01,26,SDP,9,18,-3,0,0,-1,0,-3,-0.4,1,-3,-0.3,.463,.498,-0.2,-0.1,-2,,Amateur Draft,/2
450,Brandon Moss*\mossbr01,24,PIT,45,177,-4,-1,0,-2,-2,-9,-1.0,6,-3,-0.4,.480,.495,-0.2,-0.4,-1,,Traded,79
451,Guillermo Mota\motagu01,34,MIL,57,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$3200000,Traded,1
452,Jason Motte\motteja01,26,STL,12,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1
453,Jamie Moyer*\moyerja01,45,PHI,31,70,-9,0,0,0,10,1,0.0,0,1,0.0,.502,.500,0.0,0.0,1,$6000000,Free Agency,1
454,Peter Moylan\moylape01,29,ATL,7,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$410000,Free Agency,/1
455,Mark Mulder*\muldema01,30,STL,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$7000000,Free Agency,/1
456,Carlos Muniz\munizca01,27,NYM,17,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1
457,Daniel Murphy*\murphda08,23,NYM,49,151,8,-1,0,3,-1,9,0.9,5,14,1.3,.518,.506,1.0,0.2,11,,Amateur Draft,7
458,Matt Murton\murtoma01,26,CHC,19,42,-3,0,0,2,0,-1,-0.1,1,0,0.0,.494,.499,-0.2,0.2,-2,,Traded,7/9
459,Brett Myers\myersbr01,27,PHI,30,71,-13,0,0,0,10,-3,-0.3,0,-3,-0.3,.491,.498,-0.3,0.0,-2,$8583333,Amateur Draft,1
460,Brian Myrow*\myrowbr01,31,SDP,21,24,-2,0,0,0,0,-2,-0.2,1,-1,-0.2,.490,.499,-0.2,0.0,-1,,Free Agency,/3
461,Xavier Nady\nadyxa01,29,PIT,89,360,18,-1,-2,2,-3,15,1.4,11,26,2.5,.517,.509,2.3,-0.2,24,$3350000,Traded,9/D
462,Brad Nelson*\nelsobr02,25,MIL,9,8,0,0,0,0,0,0,0.0,0,1,0.1,.505,.500,0.1,0.0,1,,Amateur Draft,/3
463,Joe Nelson\nelsojo01,33,FLA,55,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
464,David Newhan*\newhada01,34,HOU,64,111,-3,-1,1,-3,1,-6,-0.7,3,-3,-0.3,.491,.496,0.0,-0.3,0,,Free Agency,4/7
465,Josh Newman*\newmajo01,26,COL,8,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,/1
466,Jon Niese*\niesejo01,21,NYM,3,6,-1,0,0,0,1,0,0.0,0,0,0.0,.494,.500,0.0,0.0,0,,Amateur Draft,/1
467,Fernando Nieve\nievefe01,25,HOU,10,1,0,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,,Amateur Free Agent,1
468,Wil Nieves\nievewi01,30,WSN,68,196,-6,-1,-1,2,3,-2,-0.3,6,4,0.3,.497,.499,0.1,0.5,2,,Free Agency,2
469,Jayson Nix\nixja01,25,COL,22,65,-8,0,0,2,0,-5,-0.6,2,-3,-0.4,.476,.497,-0.5,0.2,-5,$390000,Amateur Draft,4
470,Laynce Nix*\nixla01,27,MIL,10,13,-2,0,0,0,0,-2,-0.3,0,-2,-0.2,.476,.498,-0.2,0.0,-2,,Traded,/7
471,Trot Nixon*\nixontr01,34,NYM,11,41,-2,0,0,2,0,0,0.0,1,1,0.1,.499,.500,-0.1,0.2,-1,,Conditional Deal,/79
472,Ricky Nolasco\nolasri01,25,FLA,32,75,-12,0,0,0,11,-1,-0.2,0,-1,-0.2,.496,.499,-0.2,0.0,-1,$390000,Traded,1
473,Greg Norton#\nortogr01,35,ATL,111,202,3,0,-1,-6,-2,-6,-0.7,6,0,-0.1,.495,.496,0.6,-0.9,6,,Traded,73/D9
474,Abraham Nunez#\nunezab01,32,NYM,2,2,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.470,.500,-0.1,0.0,-1,,Free Agency,
475,Vladimir Nunez\nunezvl01,33,ATL,23,1,0,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,,Free Agency,1
476,Mike O'Connor*\oconnmi01,27,WSN,5,2,-1,0,0,0,0,0,0.0,0,0,0.0,.494,.500,0.0,0.0,0,,Free Agency,/1
477,Ivan Ochoa\ochoaiv01,25,SFG,47,135,-14,0,0,-1,2,-13,-1.4,4,-9,-1.0,.471,.492,-0.9,0.1,-8,,Free Agency,6/4
478,Ross Ohlendorf\ohlenro01,25,PIT,5,6,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.483,.499,-0.1,0.0,-1,,Traded,/1
479,Will Ohman*\ohmanwi01,30,ATL,80,1,0,0,0,0,0,1,0.1,0,1,0.1,.501,.500,0.1,-0.1,1,$1600000,Traded,1
480,Augie Ojeda#\ojedaau01,33,ARI,105,272,-11,1,1,11,3,4,0.4,8,13,1.2,.504,.503,0.1,1.4,2,$550000,Free Agency,456
